array name	Sample name	Batch
HSB96.HIP	HSB96.HIP	1
HSB96.IPC	HSB96.IPC	1
HSB96.MD	HSB96.MD	1
HSB96.MFC	HSB96.MFC	1
HSB96.OFC	HSB96.OFC	1
HSB96.STC	HSB96.STC	1
HSB96.STR	HSB96.STR	1
HSB96.V1C	HSB96.V1C	1
HSB96.VFC	HSB96.VFC	1
HSB97.A1C	HSB97.A1C	2
HSB97.AMY	HSB97.AMY	2
HSB97.CBC	HSB97.CBC	2
HSB97.DFC	HSB97.DFC	2
HSB97.HIP	HSB97.HIP	2
HSB97.IPC	HSB97.IPC	2
HSB97.MD	HSB97.MD	2
HSB97.MFC	HSB97.MFC	2
HSB97.MSC	HSB97.MSC	2
HSB97.OFC	HSB97.OFC	2
HSB97.STC	HSB97.STC	2
HSB97.STR	HSB97.STR	2
HSB97.V1C	HSB97.V1C	2
HSB97.VFC	HSB97.VFC	2
HSB98.A1C	HSB98.A1C	2
HSB98.DFC	HSB98.DFC	2
HSB98.HIP	HSB98.HIP	2
HSB98.IPC	HSB98.IPC	2
HSB98.MD	HSB98.MD	2
HSB98.MFC	HSB98.MFC	2
HSB98.MSC	HSB98.MSC	2
HSB98.STC	HSB98.STC	2
HSB98.STR	HSB98.STR	2
HSB98.V1C	HSB98.V1C	2
HSB98.VFC	HSB98.VFC	2
